"check","js","r","rel_diff","tol","pass"
"FIN_2018_math_escs_beta",36.1827125981491,36.1827125981491,1.96e-16,1e-04,TRUE
"FIN_2018_math_escs_alpha",497.22396336627,497.22396336627,0,1e-04,TRUE
"FIN_2018_math_escs_se_beta",1.31937554837344,1.31937569925204,1.14e-07,0.005,TRUE
"FIN_2018_math_parent_edu_beta",43.15549164018,43.15549164018,0,1e-04,TRUE
"FIN_2018_math_parent_edu_alpha",379.911230240709,379.911230240709,0,1e-04,TRUE
"FIN_2018_math_parent_edu_se_beta",4.98370161558137,4.98370019266706,2.86e-07,0.005,TRUE
"USA_2018_math_escs_beta",35.6267316962523,35.6267316962523,3.99e-16,1e-04,TRUE
"USA_2018_math_escs_alpha",474.172561179651,474.172561179651,1.2e-16,1e-04,TRUE
"USA_2018_math_escs_se_beta",1.1942240265602,1.19422389913277,1.07e-07,0.005,TRUE
"USA_2018_math_parent_edu_beta",47.5379811796536,47.5379811796536,0,1e-04,TRUE
"USA_2018_math_parent_edu_alpha",341.153652199223,341.153652199223,1.67e-16,1e-04,TRUE
"USA_2018_math_parent_edu_se_beta",3.28813773574895,3.28813887496931,3.46e-07,0.005,TRUE
"MEX_2018_math_escs_beta",20.0873709694151,20.0873709694151,0,1e-04,TRUE
"MEX_2018_math_escs_alpha",432.512546030776,432.512546030776,0,1e-04,TRUE
"MEX_2018_math_escs_se_beta",0.710659687668798,0.71065965741615,4.26e-08,0.005,TRUE
"MEX_2018_math_parent_edu_beta",30.5769587787231,30.5769587787231,1.16e-16,1e-04,TRUE
"MEX_2018_math_parent_edu_alpha",334.308246150408,334.308246150408,0,1e-04,TRUE
"MEX_2018_math_parent_edu_se_beta",1.27158696314717,1.27158685353366,8.62e-08,0.005,TRUE
