x,w,pv1,pv2,pv3,pv4,pv5
-1.2848381576,1.3524657935,492.3043905630,508.9076760725,494.9802817998,494.1416305390,499.1520867693
-0.4571180801,1.1106208984,512.2411357255,504.8218618526,496.0628190651,487.1324625049,503.2950305188
0.3390107236,0.9877399174,493.6548155282,473.1393318351,478.3198490106,483.1451496084,476.7954826027
-1.9758600916,0.7041900980,438.7032964851,433.9406243380,471.1479716897,409.2053370903,465.1770364206
0.4825613321,0.8604456859,505.4964401307,499.0287496737,473.8200283532,467.7212647542,497.3244981067
-3.0436078331,1.4161201648,375.1271727709,384.6054649207,374.3868908104,376.5456606554,423.3294111441
-1.0208079018,0.7959295153,471.3315049305,495.4791633512,475.8622354073,476.2192128669,466.0482122362
0.2601266093,0.9128619225,496.6561533226,509.0364337100,496.5423627193,503.1931648715,472.5695839035
-0.0109230128,1.1352638188,560.0567458409,575.2180273042,566.9250595926,562.1449056728,561.9808575568
0.0442007179,1.4935202331,557.3894044261,548.0282877174,539.3362862328,547.0080978657,545.3167452235
-0.9926513158,0.9952625483,424.3740964602,418.5264355776,416.1373939964,427.6880858361,413.4650173859
-0.2015654596,0.5424151106,496.2291117523,528.9483661634,483.3114089175,514.6036377398,518.6100734229
-2.0175154829,0.6465959409,461.3404114480,487.9799152157,480.3117140514,468.0705050792,473.7390453035
-0.6085637309,1.1766568695,533.6573394864,569.5657050541,540.3083664812,564.1312936909,539.1041364786
-1.6553875992,0.8293313514,517.5627873606,499.5584416574,526.5910621306,473.1962318750,517.7585113095
0.5124393621,0.5476757842,477.8128686273,487.6716142965,476.9234443342,464.9038619121,465.5703381678
-0.5179583139,0.8075952830,452.8349802939,453.0894131906,475.0997104975,465.2283275605,497.0287895969
-1.8321740652,1.0024660127,458.6127802619,458.9672788023,478.1491797014,462.1633044099,468.4777536331
0.4262075323,1.0270542603,538.9338779644,527.1614809417,511.9964429834,573.3861341047,524.7583099654
0.4077820465,1.0366733165,531.8745407689,547.2031314227,521.6981409311,542.7945059577,522.6815581916
