"check","js","r","rel_diff","tol","pass"
"theil_fin_math",0.0136817150880322,0.0136817150880322,0,1e-10,TRUE
"theil_decomp_within",0.0181600769139416,0.0181600769139416,0,1e-10,TRUE
"theil_decomp_between",0.000951300391300836,0.000951300391300836,0,1e-10,TRUE
"theil_decomp_total",0.0191113773052425,0.0191113773052425,0,1e-10,TRUE
"cluster_se_intercept",1.51324275935438,1.51324275982929,3.14e-10,1e-06,TRUE
"cluster_se_escs",1.66640105698676,1.66640105667225,1.89e-10,1e-06,TRUE
"cluster_n",214,214,0,1e-12,TRUE
"oaxaca_gap",99.9300649127765,99.9300649127765,0,1e-08,TRUE
"oaxaca_endowments",31.1307250224925,31.1307252558781,7.5e-09,1e-06,TRUE
"oaxaca_coefficients",46.8446435854773,46.8446435482381,7.95e-10,1e-06,TRUE
"oaxaca_interaction",21.9546963931639,21.9546961086596,1.3e-08,1e-06,TRUE
"oaxaca_explained",31.1307250224925,31.1307252558781,7.5e-09,1e-06,TRUE
"oaxaca_unexplained",68.7993399786412,68.7993396568977,4.68e-09,1e-06,TRUE
"oaxaca_identity",99.9300650011337,99.9300649127765,8.84e-10,1e-08,TRUE
"pv_pooled_estimate",24.0305914067449,24.0305914161367,3.91e-10,1e-08,TRUE
"pv_pooled_se",2.24253119333265,2.24253119361234,1.25e-10,1e-08,TRUE
"pv_pooled_within",3.75006598559355,3.75006598632407,1.95e-10,1e-08,TRUE
"pv_pooled_between",1.06573347289701,1.06573347333359,4.1e-10,1e-08,TRUE
"pv_pooled_df",61.8520726453406,61.8520726255211,3.2e-10,1e-08,TRUE
"fe_r2_within_plm",0.124366358927078,0.124366358927082,2.97e-14,1e-08,TRUE
"fe_r2_between_stata",0.92832310336604,0.92832310336604,5.98e-16,1e-08,TRUE
"senate_slope",39.6439307983262,39.643930838666,1.02e-09,1e-06,TRUE
"senate_se",0.577377534204883,0.577377534262768,1e-10,1e-06,TRUE
