"check","js","r","rel_diff","tol","pass"
"FIN_mean_2000_est",536.469204469983,536.469204469984,6.36e-16,1e-06,TRUE
"FIN_mean_2000_se",2.42498226157412,2.42498226157412,1.83e-16,1e-06,TRUE
"FIN_mean_2003_est",544.173383561095,544.173383561097,3.13e-15,1e-06,TRUE
"FIN_mean_2003_se",1.0990583622022,1.0990583622022,0,1e-06,TRUE
"FIN_mean_2006_est",549.347725652061,549.347725652063,3.73e-15,1e-06,TRUE
"FIN_mean_2006_se",1.17736268017747,1.17736268017747,0,1e-06,TRUE
"FIN_mean_2009_est",540.418037624022,540.418037624024,4.42e-15,1e-06,TRUE
"FIN_mean_2009_se",1.07527925389158,1.07527925389158,2.06e-16,1e-06,TRUE
"FIN_mean_2012_est",519.077986099293,519.077986099295,3.94e-15,1e-06,TRUE
"FIN_mean_2012_se",0.913719099255892,0.913719099255894,2.31e-15,1e-06,TRUE
"FIN_mean_2015_est",510.58563008792,510.585630087921,2.67e-15,1e-06,TRUE
"FIN_mean_2015_se",1.07430680242948,1.07430680242948,4.55e-15,1e-06,TRUE
"FIN_mean_2018_est",507.844853940978,507.84485394098,2.91e-15,1e-06,TRUE
"FIN_mean_2018_se",1.10591569862173,1.10591569862173,2.01e-16,1e-06,TRUE
"FIN_mean_2022_est",484.157799546376,484.157799546377,1.53e-15,1e-06,TRUE
"FIN_mean_2022_se",0.887521176093736,0.887521176093736,0,1e-06,TRUE
"FIN_mean_trend_slope",-32.4034513447559,-32.4034518632531,1.6e-08,1e-04,TRUE
"FIN_mean_trend_se",4.3265260262871,4.32652603021517,9.08e-10,1e-04,TRUE
"FIN_gradient_2000_est",27.0724055805394,27.07240558161,3.95e-11,1e-06,TRUE
"FIN_gradient_2000_se",2.45842429731283,2.45842429757562,1.07e-10,1e-06,TRUE
"FIN_gradient_2003_est",32.8570715026611,32.8570714772957,7.72e-10,1e-06,TRUE
"FIN_gradient_2003_se",1.25244247160462,1.25244247177354,1.35e-10,1e-06,TRUE
"FIN_gradient_2006_est",32.582265968163,32.582265939424,8.82e-10,1e-06,TRUE
"FIN_gradient_2006_se",1.41060941641534,1.41060941661909,1.44e-10,1e-06,TRUE
"FIN_gradient_2009_est",27.7445712774406,27.7445712285707,1.76e-09,1e-06,TRUE
"FIN_gradient_2009_se",1.33726659803212,1.33726659825199,1.64e-10,1e-06,TRUE
"FIN_gradient_2012_est",33.540194687948,33.5401946439967,1.31e-09,1e-06,TRUE
"FIN_gradient_2012_se",1.11679588438874,1.11679588457173,1.64e-10,1e-06,TRUE
"FIN_gradient_2015_est",38.7214411587242,38.721441133206,6.59e-10,1e-06,TRUE
"FIN_gradient_2015_se",1.34441525960936,1.34441525981559,1.53e-10,1e-06,TRUE
"FIN_gradient_2018_est",35.8525110778115,35.852511047313,8.51e-10,1e-06,TRUE
"FIN_gradient_2018_se",1.31244948396195,1.31244948415665,1.48e-10,1e-06,TRUE
"FIN_gradient_2022_est",38.629443980397,38.629443958327,5.71e-10,1e-06,TRUE
"FIN_gradient_2022_se",1.02923547392058,1.0292354740641,1.39e-10,1e-06,TRUE
"FIN_gradient_trend_slope",4.23815608977441,4.23815606979477,4.71e-09,1e-04,TRUE
"FIN_gradient_trend_se",1.42952308374965,1.42952308861292,3.4e-09,1e-04,TRUE
"FE_panel_gradient_slope",-4.24440218803318,-4.24440226764455,1.88e-08,0.001,TRUE
"FE_panel_gradient_se",1.06947559636226,1.06947559755495,1.12e-09,0.001,TRUE
